"run","source_global","end_global","source_phase","optimized_decisions","physics_ticks","nonterminal_handoffs","terminal_handoffs","native_effect_ticks","own_phase_effect_ticks","native_audit_anomaly_rows","state_write_anomaly_rows","sampled"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P07",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P08",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P09",0,0,0,0,0,0,0,0,"false"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P10",4,32,4,0,32,32,0,0,"true"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P11",4,32,4,0,32,28,0,0,"true"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P12",376,2999,0,0,2999,2995,0,0,"true"
"20260908T0317319786616Z_gdb991aa68103_0ae9bc64aad14ce7b2943de60d407031",132864,133248,"P13",0,0,0,0,0,0,0,0,"false"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P01",0,0,0,0,0,0,0,0,"false"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P02",0,0,0,0,0,0,0,0,"false"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P03",0,0,0,0,0,0,0,0,"false"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P04",21,168,8,0,168,168,0,0,"true"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P05",569,4552,6,0,4552,4544,0,0,"true"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P06",377,2998,1,0,2998,2992,0,0,"true"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P07",1,8,1,0,8,7,0,0,"true"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P08",1,8,1,0,8,7,0,0,"true"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P09",55,440,0,0,440,439,0,0,"true"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P10",0,0,0,0,0,0,0,0,"false"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P11",0,0,0,0,0,0,0,0,"false"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P12",0,0,0,0,0,0,0,0,"false"
"20260908T0358211077438Z_gdb991aa68103_df532577a9954407b67295896fa2af9f",133248,134272,"P13",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P01",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P02",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P03",0,0,0,0,0,0,0,0,"false"
"20260908T0418530171278Z_gdb991aa68103_aacec4db672a4cc6be3043314a075baf",134272,134400,"P04",0,0,0,0,0,0,0,0,"false"
