trial_id,phase,channel,channel_kind,metric,error_percent,within_30_percent,warning,blocks_task_success,source
trial_010_20260901_clean_v010,P05,front_left_hip,servo,command_delta_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,actual_delta_error_percent,2.8826866752891647,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,duration_error_percent,5.657574865213446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,command_average_velocity_error_percent,5.638002142443955e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,measured_average_velocity_error_percent,0.46116903781060653,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,command_peak_velocity_error_percent,5.760133111228545e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,measured_peak_velocity_error_percent,0.3718832437868297,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_hip,servo,trajectory_rmse_percent,1.2170097161047138,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,command_endpoint_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,actual_endpoint_error_percent,0.14822409208029053,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,command_delta_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,actual_delta_error_percent,0.5611449757716109,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,duration_error_percent,5.657574865213446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,command_average_velocity_error_percent,5.662316976481448e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,measured_average_velocity_error_percent,0.29612002515111924,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,command_peak_velocity_error_percent,5.6843418860808015e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,measured_peak_velocity_error_percent,0.01806369866010365,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_knee,servo,trajectory_rmse_percent,2.3818519421968642,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_ankle,wheel,duration_error_percent,5.657574865213446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_ankle,wheel,command_average_velocity_error_percent,1.3837169892279397e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_ankle,wheel,measured_average_velocity_error_percent,0.01761993817549124,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_ankle,wheel,measured_peak_velocity_error_percent,1.0397704303602713,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_ankle,wheel,command_wheel_integral_error_percent,7.0223862858408205e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_left_ankle,wheel,actual_wheel_integral_error_percent,0.004670898779899508,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_right_ankle,wheel,duration_error_percent,5.657574865213446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_right_ankle,wheel,command_average_velocity_error_percent,1.3837169892279397e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_right_ankle,wheel,measured_average_velocity_error_percent,0.759543789884981,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_right_ankle,wheel,command_peak_velocity_error_percent,0.0,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_right_ankle,wheel,measured_peak_velocity_error_percent,8.943189910149579,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_right_ankle,wheel,command_wheel_integral_error_percent,7.0223862858408205e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,front_right_ankle,wheel,actual_wheel_integral_error_percent,2.169628375370852,True,,False,raw observation/full12 ledgers vs immutable v010 contract
trial_010_20260901_clean_v010,P05,rear_left_ankle,wheel,duration_error_percent,5.657574865213446e-12,True,,False,raw observation/full12 ledgers vs immutable v010 contract
